id,value,emotion
Bank of Tokyo-Mitsubishi Trust Co,17.6357,gioia
National Australia Bank Ltd [NAB],17.4746,gioia
Imperial Bank,17.4358,gioia
Trust Co Bank,17.3939,gioia
Westpac Banking Corp,17.3191,gioia
Keybank NA,17.1715,gioia
Norstar Bank,16.1282,gioia
Bank IV Oklahoma,15.9983,gioia
IBJ Whitehall Bank & Trust Co,15.9283,gioia
Bank One NA,15.5787,gioia
Midlantic National Bank,15.5664,gioia
BankBoston NA,15.4896,gioia
Northwestern Mutual Life Insurance Co,15.3862,gioia
Massachusetts Mutual Life Insurance Co,15.3094,gioia
Crestar Bank,15.2404,gioia
JPMorgan Chase Bank,15.0749,gioia
American National Bank & Trust Co of Chicago,15.0704,gioia
Merrill Lynch Capital Corp,15.0084,gioia
Society National Bank,14.9325,gioia
National Bank of Canada,14.7529,gioia
Manufacturers National Bank,14.7343,gioia
First Union National Bank of Florida,14.6839,gioia
AmSouth Bank,14.6693,gioia
Bank of Scotland Plc,14.3626,gioia
BankAmerica Business Credit,14.3347,gioia
Bank of Boston Connecticut,14.2328,gioia
Nippon Credit Bank Ltd,14.1789,gioia
BayBank Boston,13.871,gioia
US National Bank of Oregon,13.5827,gioia
Philadelphia National Bank,13.4144,gioia
Signet Bank Virginia,13.4127,gioia
CIT Group/Business Credit Inc,13.3235,gioia
ABN AMRO Asia Taipei,12.9002,gioia
Ameritrust,12.8703,gioia
Metropolitan Life Insurance Co,12.7981,gioia
First RepublicBank Dallas,12.7817,gioia
Creditanstalt Bankverein,12.7217,gioia
First Chicago NBD Corp,12.688,gioia
SouthTrust Bank of Alabama,12.6677,gioia
Credit Agricole SA,12.5734,gioia
Travelers Insurance Group Inc,12.5277,gioia
NationsBank of Florida,12.4429,gioia
Algemene Bank Nederland,12.4285,gioia
William Street Commitment Corp,12.3825,gioia
CIT Group Inc,12.374,gioia
Bank of Tokyo Mitsubuishi UFJ Trust Co,12.3707,gioia
Bank Hapoalim BM,12.3062,gioia
Barclays Capital,12.2963,gioia
Security Pacific Bank Washington,12.2698,gioia
Lloyds TSB Bank Plc,12.2479,gioia
Daiwa Bank Ltd,12.114,gioia
Deposit Guaranty National Bank,12.1112,gioia
Portigon AG [ex-WestLB AG],11.9826,gioia
First Source Financial Inc,11.8856,gioia
PNC Bank NA,11.8404,gioia
CIBC-Wood Gundy,11.6927,gioia
Central Bank,11.6487,gioia
Fleet Bank NA,11.4743,gioia
Nationwide Life Insurance,11.4509,gioia
Capital Bank NA,11.4204,gioia
Northern Trust Co,11.3542,gioia
Principal Mutual Life Insurance Co,11.3296,gioia
First Hawaiian Bank,11.3011,gioia
Calyon New York Branch,11.1473,gioia
National City Bank of Minneapolis,11.1154,gioia
Huntington National Bank,11.1132,gioia
ING Bank,10.932,gioia
Bank of Tokyo Trust Co,10.8985,gioia
Hongkong & Shanghai Banking Corp Ltd,10.8888,gioia
Connecticut General Life Insurance Co,10.8817,gioia
Barnett Bank,10.8462,gioia
ING Capital Corp,10.7656,gioia
Mitsubishi Bank Ltd,10.6594,gioia
Seattle-First National Bank,10.6408,gioia
John Hancock Mutual Life Insurance Co,10.5668,gioia
Tokai Bank Ltd,10.4782,gioia
Credit Suisse Cayman Islands,10.3785,gioia
Michigan National Bank,10.3467,gioia
PNC Bank - Cincinnati,10.3177,gioia
Hibernia National Bank New Orleans,10.293,gioia
Lehman Brothers Bank FSB,10.1181,gioia
Meridian Bank,10.097,gioia
CoBank,9.9315,gioia
Deutsche Bank Alex Brown,9.8948,gioia
Mitsubishi Trust & Banking Corp,9.7779,gioia
Fortis Capital Corp,9.7713,gioia
Banc One Corp,9.6324,gioia
Bayerische Landesbank GZ [BayernLB],9.5648,gioia
ING BHF-Bank AG [ex-BHF-Bank AG],9.3122,gioia
Sacramento First National Bank,9.3,gioia
Norwest Bank Minneapolis,9.2577,gioia
First Union National Bank of Georgia,9.2396,gioia
Liberty National Bank & Trust,9.2086,gioia
Teachers Insurance & Annuity Association,9.1383,gioia
Regions Bank,9.1083,gioia
Bank One Indianapolis,9.091,gioia
Coast Business Credit Corp,9.0768,gioia
Lloyds Bank Plc,9.0573,gioia
Fidelity Bank NA,9.0441,gioia
Southeast Bank,8.9409,gioia
Bank of America Oregon,8.9305,gioia
Nomura Asset Capital Corp,8.8577,gioia
Bank of Oklahoma,8.7152,gioia
Irving Trust,8.7112,gioia
First Union Commercial Corp,8.694,gioia
Branch Banking & Trust Co,8.6683,gioia
PNC Bank - Kentucky,8.6506,gioia
Banca Commerciale Italiana SpA,8.6194,gioia
Summit Bank,8.6003,gioia
First Interstate Bank of Oregon,8.5618,gioia
American Security Bank,8.5617,gioia
Bank One Milwaukee NA,8.4968,gioia
Bank One Arizona,8.4868,gioia
NMB Postbank Groep,8.2341,gioia
Sakura Bank Ltd,8.1541,gioia
Allstate Life Insurance Co,8.1202,gioia
Compass Bank,8.0428,gioia
Kidder Peabody & Co,7.939,gioia
Citicorp Industrial Credit,7.8764,gioia
Bank One Columbus,7.7946,gioia
Banca di Roma SpA,7.7604,gioia
Bank of New England,7.7511,gioia
Royal Bank of Scotland Plc [US],7.751,gioia
Bank of Tokyo-Mitsubishi Group,7.7504,gioia
Credit Agricole Corporate & Investment Bank SA [ex-Calyon Bank],7.7275,gioia
FleetBoston,7.7102,gioia
Commerce Bank NA,7.6132,gioia
Firstar Bank NA,7.5742,gioia
Intesa Sanpaolo SpA [ISP],7.4749,gioia
Citicorp,7.3428,gioia
Fleet Capital Corp,7.3134,gioia
Bank Brussels Lambert SA [BBL],7.2194,gioia
Scotia Capital,7.1699,gioia
FINOVA Capital Corp,7.1603,gioia
Citizens & Southern National Bank,7.142,gioia
SunTrust Bank Atlanta,7.1229,gioia
First National Bank of Commerce,7.0964,gioia
Valley Bank of Nevada,7.0587,gioia
Star Bank,7.0142,gioia
First National Bank of Maryland,7.0111,gioia
United Jersey Bank,6.9403,gioia
Banca Nazionale del Lavoro SpA [BNL],6.9023,gioia
Security Pacific Business Credit,6.8707,gioia
European American Bank,6.8551,gioia
JP Morgan & Co,6.7425,gioia
TransAmerica Business Credit Corp,6.7044,gioia
JP Morgan Delaware,6.6762,gioia
Fleet Bank of Massachusetts,6.6019,gioia
LaSalle Business Credit Inc,6.5659,gioia
New York Life Insurance Co,6.5596,gioia
Citicorp Real Estate,6.4707,gioia
Comerica Bank - California,6.4582,gioia
Australia & New Zealand Banking Group Ltd [ANZ],6.4299,gioia
DNB ASA [ex-DnB NOR Bank],6.4163,gioia
Fleet Bank of Maine,6.4153,gioia
Citicorp Investment Bank Ltd (UK),6.4059,gioia
Prime Income Trust,6.4016,gioia
BMO Capital Markets Financing Inc,6.3696,gioia
Yasuda Trust & Banking Co Ltd,6.2928,gioia
UFJ Bank,6.291,gioia
Union Bank of California NA,6.2872,gioia
Barclays Business Credit,6.272,gioia
KBC Bank NV,6.2441,gioia
Maryland National Bank,6.215,gioia
Midland Bank Plc,6.1715,gioia
Christiania Bank Og Kreditkasse,6.1085,gioia
Wachovia Bank of North Carolina,6.0755,gioia
Bayerische Hypo-und Vereinsbank AG [BHV],6.063,gioia
Mizuho Bank,6.0592,gioia
UBS Warburg,6.0535,gioia
Manufacturers & Traders Trust Co,5.9721,gioia
NationsBank of Georgia,5.9658,gioia
MBank Dallas,5.9,gioia
Western National Life Insurance Co,5.865,gioia
Merrill Lynch Pierce Fenner & Smith Inc,5.856,gioia
Valley National Bank,5.8542,gioia
Norwest Bank,5.8298,gioia
Sovereign Bank,5.8263,gioia
DNB ASA [ex-Den Norske Bank],5.8203,gioia
Whitney National Bank,5.779,gioia
First City Texas - Houston,5.7672,gioia
Bank of New York Mellon,5.7469,gioia
Westinghouse Credit Corp,5.7318,gioia
Prudential Bache,5.7,gioia
Donaldson Lufkin & Jenrette Inc,5.6918,gioia
Life Insurance Co of Georgia,5.6364,gioia
LTCB Trust Co,5.6093,gioia
Credit Agricole Corporate & Investment Bank SA [ex-Calyon],5.594,gioia
HSBC Banking Group,5.5344,gioia
AmSouth Bank of Alabama,5.4434,gioia
North Fork Bank & Trust,5.4284,gioia
Danske Bank A/S,5.4202,gioia
First Security Bank of Utah,5.4194,gioia
Arab Banking Corp BSC [ABC],5.4186,gioia
First National Bank in Boulder,5.4102,gioia
Riggs National Bank,5.3785,gioia
Sanpaolo IMI SpA [Ex-Istituto Bancario Sanpaolo di Torino SpA],5.3763,gioia
First National Bank Minneapolis,5.3609,gioia
Bayerische Landesbank GZ,5.358,gioia
First Wisconsin National Bank,5.3549,gioia
Kredietbank NV,5.34,gioia
Deutsche Bank Trust Co Americas,5.3099,gioia
Bank of Hawaii,5.2479,gioia
Bank of Tokyo Ltd,5.1925,gioia
NationsBank (Carolinas),5.1695,gioia
Lloyds Bank,5.1484,gioia
Norwest Bank Nebraska,5.1424,gioia
Bank of America National Trust & Savings,5.0695,gioia
Guaranty Federal Bank,5.0397,gioia
Jefferson-Pilot Life Insurance Co,5.0295,gioia
Sanpaolo IMI SpA,5.0267,gioia
Residential Funding Corp,5.0228,gioia
1st Business Bank,5,gioia
China Securities Co Ltd,5,gioia
Mellon Bank NA,4.9664,gioia
Van Kampen Merritt Prime Rate Income Trust,4.961,gioia
ABN AMRO Inc,4.8827,gioia
Wells Fargo Realty Advisors Funding,4.8578,gioia
Key Bank of New York,4.8522,gioia
Shawmut Bank Connecticut,4.8082,gioia
Bank Leumi Trust,4.8058,gioia
Bank of America Texas,4.8057,gioia
Credit Agricole Indosuez,4.7355,gioia
Goldman Sachs Bank USA,4.7191,gioia
First American Bank,4.7058,gioia
JP Morgan Chase,4.6906,gioia
West One Bank Utah,4.6863,gioia
Mutual Life Insurance Co of NY,4.683,gioia
UBS Securities LLC,4.672,gioia
Mizuho Financial Group Inc,4.661,gioia
First City Texas - Dallas,4.6443,gioia
Society National Bank Cleveland,4.6363,gioia
Firstar Bank of Milwaukee,4.6241,gioia
Creditanstalt Corporate Finance,4.5543,gioia
Key Bank of Central New York,4.5511,gioia
Banco Santander SA,4.5351,gioia
National Westminster USA Credit Corp,4.5134,gioia
Bank for Financial Institutions,4.5,gioia
Guaranty Bank,4.4988,gioia
Credit Lyonnais Bank Nederland NV,4.4771,gioia
Peoples Bank,4.4715,gioia
Green Tree Financial Corp,4.4604,gioia
First Tennessee Bank,4.452,gioia
Bear Stearns Corporate Lending Inc,4.4475,gioia
Banco Bilbao Vizcaya Argentaria SA [BBVA],4.4471,gioia
Bank of America Arizona,4.4355,gioia
Sovran Bank,4.4266,gioia
Bank of the West,4.4249,gioia
State Street Bank & Trust Co,4.4173,gioia
CIBC World Markets,4.3496,gioia
Colorado National Bank,4.3339,gioia
United Bank of Denver,4.2697,gioia
Signal Capital Corp,4.204,gioia
First Union National Bank of Tennessee,4.1792,gioia
Shearson Lehman Hutton,4.113,gioia
BT Alex Brown Inc,4.11,gioia
Citizens Bank NA,4.084,gioia
Aetna Life Insurance,4.0682,gioia
Fortis Bank SA/NV [Dutch-Belgian Entity],4.0569,gioia
Natixis SA,4.045,gioia
Sumitomo Bank of California,4.0405,gioia
United States Department of the Treasury,4.0198,gioia
First Interstate Bank of Arizona,4.0169,gioia
Exchange National Bank,4.0147,gioia
GlenFed Financial Corp,3.9809,gioia
Cobank ACB,3.953,gioia
Norwest Bank Colorado,3.9423,gioia
First Interstate Bank of Washington,3.9382,gioia
State Street Bank,3.937,gioia
Deutsche Bank Securities Inc,3.9112,gioia
DZ Bank AG [Ex-DG Bank AG],3.9054,gioia
Svenska Handelsbanken AB (publ) [SHBA],3.8901,gioia
Harris BankCorp,3.8898,gioia
National Canada Finance Corp,3.8797,gioia
Pilgrim Prime Rate Trust,3.8679,gioia
ING Capital LLC,3.8471,gioia
Wells Fargo - Texas,3.8358,gioia
Connecticut National Bank,3.8178,gioia
BBVA,3.8017,gioia
SunTrust Bank Central Florida,3.7969,gioia
Bankers Trust/BT Commercial Corp,3.7776,gioia
National City Bank Kentucky,3.7092,gioia
KBC Group,3.6451,gioia
Mase Westpac Ltd,3.6389,gioia
M&I Marshall & Ilsley Bank,3.6322,gioia
First National Bank of Louisville,3.6285,gioia
Bayerische Vereinsbank,3.5948,gioia
Kleinwort Benson,3.5913,gioia
Chrysler Capital Corp,3.5853,gioia
NatWest Bank NA,3.5642,gioia
Wells Fargo Foothill Inc,3.5615,gioia
Norddeutsche Landesbank GZ [NordLB],3.5531,gioia
Credit du Nord,3.5356,gioia
Bank of Tokyo-Mitsubishi UFJ Ltd New York Branch,3.5179,gioia
City National Bank,3.4959,gioia
SouthTrust Bank of Georgia,3.4673,gioia
Pacific Mutual Life Insurance,3.4381,gioia
Sun Bank,3.4303,gioia
Capital One Bank,3.4213,gioia
United New Mexico Bank at Albuquerque,3.3931,gioia
ING Barings,3.3929,gioia
Key Bank of Washington,3.3893,gioia
Alexander Hamilton Life Insurance,3.3683,gioia
Protective Life Insurance Co,3.3403,gioia
ITT Commercial Finance,3.321,gioia
First National Bank of Chicago,3.3122,gioia
Bank South,3.2828,gioia
Natixis SA [Ex-Natexis Banques Populaires],3.2699,gioia
Salomon Smith Barney,3.2447,gioia
AEGON USA Investment Management,3.2427,gioia
First Fidelity Bank NA New Jersey,3.2333,gioia
Standard Federal Bank,3.2319,gioia
Fremont Financial Corp,3.1869,gioia
PNC Bank - Louisville,3.1759,gioia
Signet Bank Maryland,3.1548,gioia
Fleet Retail Finance,3.1455,gioia
Pilgrim Group,3.1431,gioia
CIBC Inc,3.143,gioia
BNY Financial Corp,3.103,gioia
Washington Mutual Bank,3.0991,gioia
Harris Nesbitt,3.084,gioia
Merrill Lynch Senior Floating Rate Fund,3.0592,gioia
Intesa Sanpaolo SpA [ex-Banca Intesa SpA],3.0405,gioia
Sumitomo Trust & Banking Co Ltd,3.0221,gioia
Peoples Heritage Savings Bank,3.0216,gioia
First Union National Bank of Virginia,3.01,gioia
Merrill Trust,3.0053,gioia
First Vermont Bank,3,gioia
First Union National Bank of South Carolina,2.9967,gioia
JP Morgan Securities Inc,2.9713,gioia
First Interstate Bank of Nevada,2.9473,gioia
HSBC Markets,2.9338,gioia
Banque Indosuez,2.9176,gioia
Generale Bank SA,2.9087,gioia
Bayerische Hypotheken-und Wechsel-Bank AG [Hypo Bank],2.8491,gioia
Fidelity National Bank,2.849,gioia
Natexis Banques Populaires [ex-Banque Francaise du Commerce Exterieur],2.8239,gioia
M&I Bank of Madison,2.81,gioia
BayBank Middlesex,2.7947,gioia
United States Trust,2.7839,gioia
Mitsui Bank Ltd,2.7731,gioia
Morgan Bank of Canada,2.7609,gioia
Banco Popular de Puerto Rico,2.7376,gioia
Allied Irish Banks Plc [AIB],2.7248,gioia
Midlantic Bank,2.7244,gioia
JP Morgan Chase & Co,2.7128,gioia
Credit Agricole Corporate & Investment Bank SA [Credit Agricole CIB],2.7059,gioia
Credit Lyonnais New York,2.7041,gioia
Harris Nesbitt Financing Inc,2.6831,gioia
Mees Pierson,2.6822,gioia
Amegy Bank NA,2.6815,gioia
BNP Paribas New York,2.6686,gioia
Governor & Co of the Bank of Ireland,2.648,gioia
Citizens Bank of New Hampshire,2.641,gioia
BBVA Compass,2.613,gioia
Republic National Bank of New York,2.6069,gioia
Norinchukin Bank,2.6067,gioia
Mercantile Bank St Louis,2.6021,gioia
HypoVereinsbank,2.57,gioia
Team Bank,2.563,gioia
Phoenix Home Life Mutual Insurance Co,2.5487,gioia
Export Development Canada [EDC],2.5335,gioia
TD Securities,2.5156,gioia
Bank One Dayton,2.5012,gioia
RBC Capital Markets,2.498,gioia
Rhode Island Hospital Trust National Bank,2.4969,gioia
Bank of Communications Co Ltd,2.4937,gioia
Van Kampen/American Capital Inc,2.4806,gioia
Industrial Bank of Japan Trust Co,2.4724,gioia
CIBC Oppenheimer,2.4716,gioia
SunTrust Bank Nashville,2.4716,gioia
California First Bank,2.4664,gioia
Wachovia Securities,2.4623,gioia
Van Kampen American Capital Prime Rate Income Trust,2.46,gioia
AID Association for Lutherans,2.4598,gioia
Anchor National Life Insurance Co,2.4498,gioia
Equitable Life Assurance Society of the US,2.4477,gioia
Internationale Nederlanden Capital Corp,2.3978,gioia
Cassa di Risparmio delle Provincie Lombarde SpA [Cariplo],2.396,gioia
First Commercial Bank,2.3859,gioia
Merrill Lynch Business Financial Services Inc,2.3847,gioia
Metropolitan Insurance & Annuity Co,2.3698,gioia
Chang Hwa Commercial Bank,2.3637,gioia
First Midwest Bancorp,2.3462,gioia
ING Bank NV,2.3357,gioia
Bankers Trust Corp,2.3108,gioia
First Pennsylvania Bank,2.2996,gioia
Commonwealth Bank of Australia,2.2963,gioia
Amsterdam Rotterdam Bank,2.2841,gioia
Banca Popolare di Milano SCaRL [BPM],2.2655,gioia
Provident Services,2.2633,gioia
Banca Monte dei Paschi di Siena SpA [MPS],2.2605,gioia
Far West Commercial Finance Co,2.26,gioia
Landmark Bank,2.2576,gioia
Connecticut Mutual Life Insurance Co,2.2486,gioia
Fidelity Bank Malvern Pa,2.2339,gioia
Cooperative Centrale Raiffeisen-Boerenleenbank BA [Rabobank International],2.224,gioia
Citizens Bank of Massachusetts,2.2197,gioia
UniCredit Romania SA,2.2,gioia
Great-West Life Assurance Co,2.1978,gioia
Societe Generale Asia Ltd,2.1959,gioia
Banco Santander (Suisse) SA,2.1838,gioia
Citizens Bank of Pennsylvania,2.1812,gioia
CHL High-Yield Loan Portfolio,2.1761,gioia
National Bank of Long Beach,2.1702,gioia
Great Financial Bank FSB,2.1645,gioia
Downey Savings & Loan,2.1636,gioia
AP-AGC LLC,2.16,gioia
NationsBank NA,2.1477,gioia
Bank of Ireland Group,2.1466,gioia
Third National Bank of Nashville,2.1456,gioia
Century Business Credit Corp,2.143,gioia
Santander Central Hispano SA [ex-Banco Santander SA],2.1256,gioia
Chase Lincoln First Bank,2.1133,gioia
US West Financial Services,2.1101,gioia
Connecticut Bank & Trust,2.1092,gioia
Credit Suisse First Boston Cayman Islands,2.081,gioia
Bank One Oklahoma City,2.0715,gioia
USL Capital Corp,2.063,gioia
First Fidelity Bank NA,2.0488,gioia
National City Bank Pennsylvania,2.047,gioia
Citigroup Global Markets Inc,2.0445,gioia
Dominion Bank,2.028,gioia
CIT Group/Equipment Financing,2.0214,gioia
Morgan Stanley MUFG Loan Partners LLC,2.0137,gioia
Ocean Bank,2.013,gioia
California Federal Bank,2.0087,gioia
Bank of China Ltd,2.0013,gioia
TIB Bank of the Keys,2,gioia
Key Bank of Michigan,2,gioia
First National Bank Wichita,2,gioia
Morgan Stanley Group,1.9946,gioia
Hibernia National Bank,1.9824,gioia
Fidelcor Business Credit Corp,1.9635,gioia
Landesbank Hessen-Thuringen GZ [Helaba],1.9562,gioia
National City Bank of Dayton,1.9364,gioia
Banco Bilbao Vizcaya Argentaria SA [ex-Banco Bilbao Vizcaya SA],1.931,gioia
Hambrecht & Quist Venture Partners,1.917,gioia
Bear Stearns Cos,1.9123,gioia
Zions First National Bank,1.9056,gioia
MNC Commercial Corp,1.9012,gioia
UMB Bank,1.8967,gioia
National City Bank Indiana,1.8916,gioia
Amarillo National Bank,1.8848,gioia
Safeguard Scientifics,1.8761,gioia
M&T Bank,1.8683,gioia
Mid-Peninsula Bank,1.8558,gioia
Commerzbank AG New York,1.8453,gioia
Bank of America Securities,1.8205,gioia
Banco Bilbao Vizcaya Argentaria SA,1.8152,gioia
Greyhound Financial,1.8136,gioia
SBC Warburg,1.804,gioia
Chase Lincoln First Commercial Corp,1.7967,gioia
Nordea Bank Finland Plc,1.7948,gioia
Deutsche Bank AG Cayman Islands Branch,1.7936,gioia
IntesaBci SpA,1.7858,gioia
CIC Europeene International et Cie,1.7792,gioia
National Bank of the Redwoods,1.7786,gioia
Sun Bank/South Florida,1.7602,gioia
Nomura Holding America Inc,1.7589,gioia
ING BHF-Bank AG [ex-Berliner Handels-und Frankfurter Bank],1.7569,gioia
First Colony Life Insurance Co,1.7568,gioia
Rainier National Bank,1.7481,gioia
Allfirst Bank,1.7437,gioia
Greyrock Business Credit,1.7372,gioia
LaSalle Business Credit,1.7325,gioia
Boatmen's National Bank of Kansas City,1.7277,gioia
Security Pacific Bank Arizona,1.7262,gioia
Harris NA,1.7121,gioia
First Alabama Bank,1.7018,gioia
National Bank of Georgia,1.7,gioia
US Bank of Nevada,1.6982,gioia
Bear Stearns,1.6966,gioia
Pacific Coast Farm Credit Services,1.692,gioia
Skandinaviska Enskilda Banken AB [SEB],1.6813,gioia
Brown Brothers Harriman & Co,1.6772,gioia
Premier Bank,1.6763,gioia
RBS Citizens NA,1.6758,gioia
Metro North State Bank Kansas City,1.67,gioia
Provident Life & Accident Insurance Co,1.665,gioia
US Bank National Association,1.6645,gioia
UBS Investment Bank,1.662,gioia
Raymond James Bank FSB,1.6613,gioia
NordLB Group,1.6513,gioia
National City Bank Columbus,1.6407,gioia
Provident Mutual Life Insurance,1.6366,gioia
Union Bank of Switzerland Hongkong,1.6341,gioia
Landesbank Hessen-Thuringen GZ [ex-Hessische Landesbank],1.6336,gioia
US Bank of Idaho,1.6307,gioia
Executive Life Insurance,1.6306,gioia
Merchants National Bank & Trust Indianapolis,1.6189,gioia
American National Bank,1.6186,gioia
US Bank of Utah,1.616,gioia
Morgan Stanley Mortgage Capital,1.605,gioia
Merita Bank Ltd,1.6025,gioia
National Bank of Northern Virginia,1.6,gioia
First Interstate Bank of Denver,1.5816,gioia
UniCredito Italiano SpA,1.5784,gioia
Barnett Bank of Jacksonville,1.5726,gioia
AgFirst Farm Credit Bank,1.5716,gioia
Sanpaolo IMI SpA [Tokyo],1.5662,gioia
Liberty Bank & Trust Co of Tulsa,1.5632,gioia
Bank United of Texas,1.5577,gioia
Banc of America Securities LLC,1.5546,gioia
First Boston Securities Corp,1.5501,gioia
Manufacturers Hanover Bank Delaware,1.5486,gioia
US Bancorp,1.5444,gioia
Drexel Burnham Lambert,1.5385,gioia
Banco Santander SA New York,1.5291,gioia
Manufacturers National Bank of Detroit,1.5243,gioia
GMAC Commercial Finance,1.5181,gioia
Acadia Partners LP,1.5122,gioia
DZ Bank AG [Ex-Deutsche Genissenschaftsbank AG],1.5091,gioia
Concord Minutemen Capital Co,1.5,gioia
Bank of Tokyo-Mitsubishi UFJ Trust Co,1.4978,gioia
CIT Group/Credit Finance,1.4947,gioia
RZB Finance LLC,1.4927,gioia
TD Bank NA,1.4883,gioia
Far East National Bank,1.4881,gioia
New England Mutual Life Insurance Co,1.4816,gioia
